aktywny,nazwa ,kategoria,cenaBrutto,mark,ilosc,podsumowanie,opis,meta_tytul,adres_Zdjecia_url,tekst_alternatywny_dla_zdjec 
1,"Aviomarin Natural, po 6 roku życia, 10 tabletek",Zdrowie dzieci;choroba lokomocyjna,8.59,TEVA,300,<span>Suplement diety</span>,"<div class=""pw_description"" itemprop=""description"">
			<h2 class=""h2_title"">Aviomarin Natural, po 6 roku życia, 10 tabletek - opis produktu</h2>

			
<div>Składniki suplementy Aviomarin Natural pomagają zapobiegać uczuciu dyskomfortu podczas podróży. Ekstrakt suchy z kłącza imbiru zawarty w suplemencie diety pomaga zapobiegać uczuciu dyskomfortu podczas podróży, pomaga ograniczyć złe samopoczucie (odczucia wymiotne, skołowanie), mogące wystąpić podczas podróży samochodem, pociągiem, statkiem lub samolotem.</div>
<div> </div>
<div><strong>Zastosowanie: </strong>uzupełnienie diety w składniki zapobiegające uczuciu dyskomfortu podczas podróży.</div>
<div> </div>
<div><strong>Zalecane spożycie:</strong> dzieci po 6 roku życia: 1 tabletka pół godziny przed podróżą lub podczas jej trwania. </div>
<div> </div>
<div><strong>Składniki:</strong> substancja wypełniająca - fosforan wapnia, ekstrakt suchy z kłącza imbiru (Zingiber offcinale L.), substancja wypełniająca - celuloza; substancja przeciwzbrylająca - sole magnezowe kwasów tłuszczowych, substancja przeciwzbrylająca - poliwinylopirolidon, substancja przeciwzbrylająca - dwutlenek krzemu, stabilizator - poliwinylopolipirolidon, składniki otoczki: substancja glazurująca - alkohol poliwinylowy (PVA), barwnik - dwutlenek tytanu, barwnik - tlenki i wodorotlenek żelaza.</div>
<div> </div>
<div>1 tabletka zawiera: ekstrakt z kłącza imbiru 360mg.</div>
<div> </div>
<div><strong>Ważne wskazówki: <br></strong>Nie należy przekraczać zalecanej dziennej porcji.<br>Zrównoważony sposób żywienia i prawidłowy tryb życia jest ważny dla funkcjonowania organizmu człowieka. <br>Suplement diety nie może być stosowany jako substytut (zamiennik) zróżnicowanej diety.<br>Przechowywać poniżej 25 stopni Celsjusza.<br>Chronić przed wilgocią i światłem. </div>
<div>Nie stosować w przypadku uczulenia na którykolwiek ze składników produktu.</div>
<div> </div>
<div><strong>Producent: </strong></div>
<div>Teva Operations Poland Sp.z.o.o,</div>
<div>ul. Emilii Plater 53,</div>
<div>00-113 Warszawa.</div>
<div> </div>
			

		</div>","Aviomarin Natural, po 6 roku życia, 10 tabletek",https://www.aptekagemini.pl/product/image/122579/1511552842apteka_internetowa_gemini_aviomarin_natural_po_6_roku_-ycia_10_tabletek.jpg,"Aviomarin Natural, po 6 roku życia, 10 tabletek"
1,"Lily, musujący lizak pudrowy, na dolegliwości lokomocyjne, smak pomarańczowy, 1 sztuka",Zdrowie dzieci;choroba lokomocyjna,1.89,DENVER FOOD,300,<span>Suplement diety</span>,"<div class=""pw_description"" itemprop=""description"">
			<h2 class=""h2_title"">Lily, musujący lizak pudrowy, na dolegliwości lokomocyjne, smak pomarańczowy, 1 sztuka - opis produktu</h2>

			
		<div>
			Lizak na dolegliwości lokomocyjne o smaku pomarańczowym to suplement diety stworzony na bazie wyciągu z imbiru, który eliminuje poczucie dyskomfortu i nudności podczas podróży.</div>
		<div>
			Lizak przeznaczony jest dla dzieci i dorosłych źle znoszących podróże samochodem, pociągiem, samolotem czy też statkiem.</div>
		<div>
			 </div>
		<div>
			<strong>Zastosowanie:</strong> suplementacja diety w składniki aktywne.</div>
		<div>
			 </div>
		<div>
			<strong>Zalecane spożycie:</strong> dzieci powyżej 3. roku życia 1-3 lizaków dziennie.</div>
		<div>
			 </div>
		<div>
			<strong>Składniki:</strong> Substancje słodzące: izomalt, erytrytol; regulatory kwasowości: węglany sodu, kwas cytrynowy; ekstrakt z kłącza imbiru; substancje wiążące: sole magnezowe kwasów tłuszczowych, guma arabska; kwas L-askorbinowy (witamina C); naturalny aromat pomarańczy; barwnik: ekstrakt papryki; substancja słodząca: sukraloza.</div>
		<div>
			 </div>
		<div>
			1 lizak (8g) zawiera: ekstrakt z imbiru (Zingiber officinale) 150mg, witamina C 20mg (25%)*</div>
		<div>
			 </div>
		<div>
			*RWS- Referencyjna Wartość Spożycia.</div>
		<div>
			 </div>
		<div>
			<strong>Ważne wskazówki: </strong></div>
		<div>
			Przechowywać w temperaturze pokojowej, w suchym miejscu, w sposób niedostępny dla dzieci.</div>
		<div>
			Suplement diety nie może być stosowany jako substytut (zamiennik) zróżnicowanej diety.</div>
		<div>
			Ważne jest stosowanie zbilansowanej i zróżnicowanej diety oraz prowadzenie zdrowego trybu życia.</div>
		<div>
			Spożycie w nadmiernych ilościach może mieć efekt przeczyszczający.</div>
		<div>
			Produkt stworzony na bazie erytrytolu.</div>
		<div>
			 </div>
		<div>
			<strong>Wyprodukowano w Polsce dla:</strong></div>
		<div>
			7Pharma Sp. z o.o.,</div>
		<div>
			Al. K.E.N. 93,</div>
		<div>
			02-777 Warszawa.</div>
	
			

		</div>","Lily, musujący lizak pudrowy, na dolegliwości lokomocyjne, smak pomarańczowy, 1 sztuka",https://www.aptekagemini.pl/product/image/236799/apteka_internetowa_gemini_lily_musuj-cy_lizak_pudrowy_na_dolegliwo-ci_lokomocyjne_smak_pomara-czowy_1_sztuka.jpg,"Lily, musujący lizak pudrowy, na dolegliwości lokomocyjne, smak pomarańczowy, 1 sztuka"
1,"Urinal Junior, płyn doustny, smak truskawkowy, 120ml",Zdrowie dzieci;drogi moczowe,15.89,WALMARK,300,<span>Suplement diety</span>,"<div class=""pw_description"" itemprop=""description"">
			<h2 class=""h2_title"">Urinal Junior, płyn doustny, smak truskawkowy, 120ml - opis produktu</h2>

			
		<div>
			Urinal Junior to suplement diety w płynie zawierający unikalną kompozycję składników, na które składają się: ekstrakty roślinne (żurawina i brzoza) a także d-mannoza, biotyna oraz cynk. Urinal Junior to jedyny tak kompleksowy preparat, którego składniki skutecznie wspomagają fizjologiczne funkcjonowanie układu moczowego. Ekstrakt z owoców żurawiny wielkoowocowej (Vaccinium macrocarpon) to wysokiej jakości składnik stosowany tradycyjnie w problemach z układem moczowym; zawiera proantocyjanidyny (PAC), wykazujące powinowactwo do bakterii, które mogą powodować problemy z układem moczowym. Ekstrakt z liści brzozy brodawkowatej (Betula pendula) wspomaga funkcję wydalniczą nerek co w konsekwencji wspomaga prawidłowe funkcjonowanie układu moczowego. D-mannoza podlega wchłanianiu w praktycznie niezmienionej postaci, dzięki temu dostaje się do moczu w aktywnej formie; wykazuje powinowactwo do bakterii, które mogą powodować problemy z układem moczowym. Biotyna pomaga w utrzymaniu prawidłowego stanu błon śluzowych. Cynk pomaga w prawidłowym funkcjonowaniu układu odpornościowego. Preparat jest polecany do stosowania w okresach zwiększonego zapotrzebowania na składniki wspomagające fizjologiczne funkcjonowanie układu moczowego. Produkt przeznaczony dla dzieci powyżej 3 roku życia, młodzieży oraz dorosłych.</div>
		<div>
			 </div>
		<div>
			<strong>Zastosowanie:</strong> uzupełnienie diety w składniki wspierające prawidłowe funkcjonowanie układu moczowego.</div>
		<div>
			 </div>
		<div>
			<strong>Zalecane spożycie:</strong> 10 ml, rekomenduje się stosowanie produktu nieprzerwanie przez 12 dni, celem lepszego efektu wspomagania fizjologicznego funkcjonowania układu moczowego.</div>
		<div>
			 </div>
		<div>
			<strong>Składniki:</strong> syrop glukozowo-fruktozowy, ekstrakt z liści brzozy brodawkowatej (Betula pendula), ekstrakt z owoców żurawiny wielkoowocowej (Vaccinum macrocarpon), regulator kwasowości: kwas cytrynowy, d-mannoza, aromat truskawkowy, substancja konserwująca: sorbinian potasu, substancja zagęszczająca: guma ksantynowa, mleczan cynku, d-biotyna.</div>
		<div>
			 </div>
		<div>
			10ml zawiera: ekstarkt z owoców żurawiny wielkoowocowej (40%PAC) 90mg (36mg PAC), ekstrakt z liści brzozy (DER 10:1) 200mg, D-mannoza 50mg, cynk 1,5mg (15%)*, biotyna 15µg (30%)*.</div>
		<div>
			 </div>
		<div>
			*RWS- Referencyjne Wartości Spożycia.</div>
		<div>
			 </div>
		<div>
			<strong>Przeciwwskazania:</strong> nie należy spożywać w przypadku uczulenia na którykolwiek składnik produktu. Kobiety w ciąży i karmiące piersią przed zastosowaniem produktu powinny skonsultować się z lekarzem.</div>
		<div>
			 </div>
		<div>
			<strong>Ważne wskazówki:</strong></div>
		<div>
			Zawiera substancję sodzącą.</div>
		<div>
			Wstrząsnąć przed każdym użyciem.</div>
		<div>
			W opakowaniu znajduje się miarka dozująca, która ma pomóc we właściwym podawaniu produktu.</div>
		<div>
			Wystąpienie osadu na dnie butelki jest naturalnym objawem i nie stanowi wady jakościowej produktu.</div>
		<div>
			Po pierwszym otwarciu, produkt należy spożyć w ciągu maksymalnie 1 miesiąca.</div>
		<div>
			Preparat należy przechowywać w temperaturze poniżej 25 stopni Celsjusza, w suchym miejscu.</div>
		<div>
			Suplement należy przechowywać w sposób niedostępny dla dzieci.</div>
		<div>
			Chronić od miejsc nasłonecznionych i źródeł ciepła.</div>
		<div>
			Ważne jest stosowanie zbilansowanej i zróżnicowanej diety oraz prowadzenie zdrowego tryby życia.</div>
		<div>
			Preparat nie może być stosowany jako substytut zróżnicowanej diety.</div>
		<div>
			Nie należy przekraczać zalecanej porcji dziennej.<span class=""Apple-tab-span"" style=""white-space:pre""> </span></div>
		<div>
			 </div>
		<div>
			<strong>Producent:</strong></div>
		<div>
			Walmark Sp.z o.o.</div>
		<div>
			ul.Teatralna 9</div>
		<div>
			41-200 Sosnowiec</div>
	
			

		</div>","Urinal Junior, płyn doustny, smak truskawkowy, 120ml",https://www.aptekagemini.pl/product/image/192770/30213.jpg,"Urinal Junior, płyn doustny, smak truskawkowy, 120ml"
1,"Mocuś, zestaw do pobierania moczu dla dziewczynek i chłopców, 1 sztuka",Zdrowie dzieci;drogi moczowe,16.99,AD REM,300,<span>Wyrób medyczny inny</span>,"<div class=""pw_description"" itemprop=""description"">
			<h2 class=""h2_title"">Mocuś, zestaw do pobierania moczu dla dziewczynek i chłopców, 1 sztuka  - opis produktu</h2>

			<p>Zestaw służący łatwemu pobieraniu próbki moczu u niemowląt i dzieci pieluchowanych. Bezpieczny wkład absorbujący mocz, wykonany ze 100% bawełny.</p>
<p><strong>Zastosowanie:</strong> zestaw do pobierania moczu dla chłopców i dziewczynek.</p>
<p><strong>Zestaw zawiera:</strong><br>- wkład absorbujący mocz, <br>- strzykawkę 20ml, <br>- pęsetę,<br>- pojemnik na mocz.</p>
<p><strong>Producent:</strong><br>Ad Rem Agata Styk-Świć<br>Słoneczna 14,<br>22-105 Oszków,<br>Polska.</p>
			

		</div>","Mocuś, zestaw do pobierania moczu dla dziewczynek i chłopców, 1 sztuka",https://www.aptekagemini.pl/product/image/265870/9048061.jpg,"Mocuś, zestaw do pobierania moczu dla dziewczynek i chłopców, 1 sztuka"
1,"Aromactiv Baby, żel, od urodzenia, 20g",Zdrowie dzieci;katar,7.99,AFLOFARM,300,<span>Kosmetyk</span>,"<div class=""pw_description"" itemprop=""description"">
			<h2 class=""h2_title"">Aromactiv Baby, żel, od urodzenia, 20g - opis produktu</h2>

			
		<div>
			Żel Aromactiv baby jest przeznaczony dla dzieci i niemowląt od 1. dnia życia. Masaż przy pomocy żelu Aromactiv baby uwalnia odświeżające i oczyszczające zapachy sosny, mięty i eukaliptusa, pomaga dziecku odprężyć się i spokojnie zasnąć.</div>
		<div>
			 </div>
		<div>
			Oleje zawarte w żelu Aromactiv baby (sojowy, słonecznikowy, z pestek winogron oraz oliwa z oliwek) wykazują doskonałe właściwości odżywcze. Natłuszczają delikatną skórę dziecka i wzmacniają jej naturalną  barierę ochronną. Mieszanina ekstraktów pozyskanych z owoców awokado i kwiatów rumianku oraz nagietka działa nawilżająco, zmiękczająco i wygładzająco. Pantenol łagodzi suchą, podrażnioną skórę. Skład wzbogacony został o mleczko owsiane, które wspiera regenerację skóry dziecka i chroni ją przed wysuszeniem.</div>
		<div>
			<br>
			<strong>Wskazania:</strong> ułatwienie zasypiania. Dla dzieci i niemowląt od 1. dnia życia.</div>
		<div>
			<br>
			<strong>Sposób użycia:</strong> delikatnie wmasować żel Aromactiv baby w skórę klatki piersiowej dziecka. Tylko do użytku zewnętrznego.</div>
		<div>
			<br>
			Nie dopuszczać do kontaktu produktu z oczami. W przypadku kontaktu z oczami należy przemyć je czystą wodą. Stosować tylko pod nadzorem dorosłych.</div>
		<div>
			<br>
			<strong>Składniki aktywne:</strong> oleje (sojowy, słonecznikowy, z pestek winogron oraz oliwa z oliwek); ekstrakty: z owoców awokado i kwiatów rumianku oraz nagietka; mleczko owsiane.</div>
		<div>
			<br>
			Nie zaleca się stosowania produktu u wcześniaków. Nie stosować w przypadku nadwrażliwości na którykolwiek składnik produktu.</div>
		<div>
			 </div>
		<div>
			Aromactiv baby nie zawiera terpenów (kamfory, mentolu, eukaliptolu) .</div>
		<br>
		<p>
			<br>
			 </p>
		<br>
		<br>
	
			

		</div>","Aromactiv Baby, żel, od urodzenia, 20g",https://www.aptekagemini.pl/product/image/151361/1520416767apteka_internetowa_gemini_aromactiv_baby_-el_od_urodzenia_20g.jpg,"Aromactiv Baby, żel, od urodzenia, 20g"
1,"OlivoCap, spray do usuwania woskowiny usznej, 40ml",Zdrowie dzieci;higiena uszu,17.89,CAPEY,300,<span>Wyrób medyczny leczniczy</span>,"<div class=""pw_description"" itemprop=""description"">
			<h2 class=""h2_title"">OlivoCap, spray do usuwania woskowiny usznej, 40ml - opis produktu</h2>

			
		<div>
			OlivoCap to w 100% naturalny spray do rozpuszczania i usuwania woskowiny usznej dodatkowo nawilżający kanał słuchowy, zapobiegający ponownemu gromadzeniu się woskowiny, łączący w sobie cechy mechaniczne związku myjącego oraz cechy wspomagania procesu samooczyszczania uszu z woskowiny.</div>
		<div>
			 </div>
		<div>
			<strong>Zastosowanie:</strong> usuwanie woskowiny usznej. Preparat do stosowania u dorosłych i dzieci powyżej 3 miesiąca życia.</div>
		<div>
			 </div>
		<div>
			<strong>Sposób użycia:</strong> przy korku woskowinowym: rozpylić 1-2 dawki do ucha 3-5 razy dziennie, aż do rozpuszczenia woskowiny. Profilaktycznie: rozpylić 1-2 dawki do każdego ucha 1-2 razy w tygodniu jako zapobieganie tworzenia się korków woskowinowych; rozpylić 1-2 dawki do każdego ucha bezpośrednio przed kąpielą w basenie lub innym akwenie wodnym.</div>
		<div>
			 </div>
		<div>
			<strong>Składniki:</strong> farmaceutyczny squalan, farmaceutyczny olej z oliwek, farmaceutyczny olejek miętowy.<br>
			<br>
			<strong>Przeciwwskazania:</strong> nie stosować w przypadku nadwrażliwości na którykolwiek ze składników preparatu.<br>
			<br>
			<strong>Ważne wskazówki:</strong><br>
			Nie zawiera wody i konserwantów.<br>
			Zawiera w 100% naturalne składniki.<br>
			<br>
			<strong>Producent:</strong><br>
			Capeypharma Sp. z o.o. Sp. K<br>
			ul. Klaudyny 28 C<br>
			01-648 Warszawa, Polska.<br>
			<br>
			 </div>
	
			

		</div>","OlivoCap, spray do usuwania woskowiny usznej, 40ml",https://www.aptekagemini.pl/product/image/79858/1517334540apteka_internetowa_gemini_olivocap_spray_do_usuwania_woskowiny_usznej_40ml.jpg,"OlivoCap, spray do usuwania woskowiny usznej, 40ml"
1,"Urinal Junior, płyn doustny, smak truskawkowy, 120ml + ŻURAWINA 100 G GRATIS",Zdrowie dzieci;drogi moczowe,15.90,WALMARK,300,<span>Suplement diety</span>,"<div class=""pw_description"" itemprop=""description"">
			<h2 class=""h2_title"">Urinal Junior, płyn doustny, smak truskawkowy, 120ml + ŻURAWINA 100 G GRATIS - opis produktu</h2>

			
		<div>
			Urinal Junior to suplement diety w płynie zawierający unikalną kompozycję składników, na które składają się: ekstrakty roślinne (żurawina i brzoza) a także d-mannoza, biotyna oraz cynk. Urinal Junior to jedyny tak kompleksowy preparat, którego składniki skutecznie wspomagają fizjologiczne funkcjonowanie układu moczowego. Ekstrakt z owoców żurawiny wielkoowocowej (Vaccinium macrocarpon) to wysokiej jakości składnik stosowany tradycyjnie w problemach z układem moczowym; zawiera proantocyjanidyny (PAC), wykazujące powinowactwo do bakterii, które mogą powodować problemy z układem moczowym. Ekstrakt z liści brzozy brodawkowatej (Betula pendula) wspomaga funkcję wydalniczą nerek co w konsekwencji wspomaga prawidłowe funkcjonowanie układu moczowego. D-mannoza podlega wchłanianiu w praktycznie niezmienionej postaci, dzięki temu dostaje się do moczu w aktywnej formie; wykazuje powinowactwo do bakterii, które mogą powodować problemy z układem moczowym. Biotyna pomaga w utrzymaniu prawidłowego stanu błon śluzowych. Cynk pomaga w prawidłowym funkcjonowaniu układu odpornościowego. Preparat jest polecany do stosowania w okresach zwiększonego zapotrzebowania na składniki wspomagające fizjologiczne funkcjonowanie układu moczowego. Produkt przeznaczony dla dzieci powyżej 3 roku życia, młodzieży oraz dorosłych.</div>
		<div>
			 </div>
		<div>
			<strong>Zastosowanie:</strong> uzupełnienie diety w składniki wspierające prawidłowe funkcjonowanie układu moczowego.</div>
		<div>
			 </div>
		<div>
			<strong>Zalecane spożycie:</strong> 10 ml, rekomenduje się stosowanie produktu nieprzerwanie przez 12 dni, celem lepszego efektu wspomagania fizjologicznego funkcjonowania układu moczowego.</div>
		<div>
			 </div>
		<div>
			<strong>Składniki:</strong> syrop glukozowo-fruktozowy, ekstrakt z liści brzozy brodawkowatej (Betula pendula), ekstrakt z owoców żurawiny wielkoowocowej (Vaccinum macrocarpon), regulator kwasowości: kwas cytrynowy, d-mannoza, aromat truskawkowy, substancja konserwująca: sorbinian potasu, substancja zagęszczająca: guma ksantynowa, mleczan cynku, d-biotyna.</div>
		<div>
			 </div>
		<div>
			10ml zawiera: ekstarkt z owoców żurawiny wielkoowocowej (40%PAC) 90mg (36mg PAC), ekstrakt z liści brzozy (DER 10:1) 200mg, D-mannoza 50mg, cynk 1,5mg (15%)*, biotyna 15µg (30%)*.</div>
		<div>
			 </div>
		<div>
			*RWS- Referencyjne Wartości Spożycia.</div>
		<div>
			 </div>
		<div>
			<strong>Przeciwwskazania:</strong> nie należy spożywać w przypadku uczulenia na którykolwiek składnik produktu. Kobiety w ciąży i karmiące piersią przed zastosowaniem produktu powinny skonsultować się z lekarzem.</div>
		<div>
			 </div>
		<div>
			<strong>Ważne wskazówki:</strong></div>
		<div>
			Zawiera substancję sodzącą.</div>
		<div>
			Wstrząsnąć przed każdym użyciem.</div>
		<div>
			W opakowaniu znajduje się miarka dozująca, która ma pomóc we właściwym podawaniu produktu.</div>
		<div>
			Wystąpienie osadu na dnie butelki jest naturalnym objawem i nie stanowi wady jakościowej produktu.</div>
		<div>
			Po pierwszym otwarciu, produkt należy spożyć w ciągu maksymalnie 1 miesiąca.</div>
		<div>
			Preparat należy przechowywać w temperaturze poniżej 25 stopni Celsjusza, w suchym miejscu.</div>
		<div>
			Suplement należy przechowywać w sposób niedostępny dla dzieci.</div>
		<div>
			Chronić od miejsc nasłonecznionych i źródeł ciepła.</div>
		<div>
			Ważne jest stosowanie zbilansowanej i zróżnicowanej diety oraz prowadzenie zdrowego tryby życia.</div>
		<div>
			Preparat nie może być stosowany jako substytut zróżnicowanej diety.</div>
		<div>
			Nie należy przekraczać zalecanej porcji dziennej.<span class=""Apple-tab-span"" style=""white-space:pre""> </span></div>
		<div>
			 </div>
		<div>
			<strong>Producent:</strong></div>
		<div>
			Walmark Sp.z o.o.</div>
		<div>
			ul.Teatralna 9</div>
		<div>
			41-200 Sosnowiec</div>
	
			

		</div>","Urinal Junior, płyn doustny, smak truskawkowy, 120ml + ŻURAWINA 100 G GRATIS",https://www.aptekagemini.pl/product/image/264318/30213DUPL-1.jpg,"Urinal Junior, płyn doustny, smak truskawkowy, 120ml + ŻURAWINA 100 G GRATIS"
1,"Audi Baby, preparat do higieny uszu, od urodzenia, 10 ampułek po 2ml",Zdrowie dzieci;higiena uszu,20.49,DIEPHARMEX,300,<span>Wyrób medyczny inny</span>,"<div class=""pw_description"" itemprop=""description"">
			<h2 class=""h2_title"">Audi Baby, preparat do higieny uszu, od urodzenia, 10 ampułek po 2ml - opis produktu</h2>

			
<p>AudiBaby to w 100% naturalny, mikrobiologiczne testowany produkt zaprojektowany specjalnie z myślą o higienie uszu niemowląt od pierwszych dni po urodzeniu. Wystarczy jedynie kilka kropel by przewód słuchowy Twojego dziecka pozostał czysty cały tydzień. AudiBaby skutecznie zastępuje patyczki do uszu, które wpychają woskowinę wgłąb przewodu słuchowego. Dzięki postaci jednorazowych dozowników AudiBaby zapewnia doskonałą higienę wrażliwym uszom noworodka.<br> <br> <strong>Zastosowanie</strong>: higiena uszu niemowląt i dzieci od urodzenia do 3 lat.<br> <br> <strong>Sposób użycia:</strong> zaleca się 1 dawkę (1ml) raz na tydzień w postaci kilku kropel do każdego ucha.</p>
<p><strong>Składniki</strong>: 100% roztwór wody morskiej.</p>
<div><strong>Ważne wskazówki:</strong></div>
<div>Przechowywać w sposób niedostępny dla małych dzieci.</div>
<div> </div>
<div><strong>Producent:</strong></div>
<div>Perffarma Sp. z o.o.</div>
<div>ul. Królowej Marysieńki 13/11,</div>
<div>02-954 Warszawa.</div>
			

		</div>","Audi Baby, preparat do higieny uszu, od urodzenia, 10 ampułek po 2ml",https://www.aptekagemini.pl/product/image/224815/apteka_internetowa_gemini_audi_baby_preparat_do_higieny_uszu_od_urodzenia_10_ampu-ek_po_2ml.jpg,"Audi Baby, preparat do higieny uszu, od urodzenia, 10 ampułek po 2ml"
1,"Lokomarin, 15 tabletek powlekanych",Zdrowie dzieci;choroba lokomocyjna,5.29,COLFARM,300,<span>Suplement diety</span>,"<div class=""pw_description"" itemprop=""description"">
			<h2 class=""h2_title"">Lokomarin, 15 tabletek powlekanych - opis produktu</h2>

			
<div>Zawarty w produkcie wyciąg z imbiru wspomaga dobre samopoczucie podczas podróży samochodem, samolotem lub innym środkiem transportu.</div>
<div> </div>
<div><strong>Zastosowanie:</strong> uzupełnienie diety w składniki sktywne produktu. </div>
<div> </div>
<div><strong>Zalecane spożycie: </strong> zalecane spożycie: 1 tabletka na półgodziny przed podróżą. Dla dzieci w wieku od 3 do 6 roku życia tabletkę przed podaniem należy rozdrobnić. </div>
<div> </div>
<div><strong>Składniki:</strong> substancja wypełniające: celuloza, sól sodowa karboksymetyloceluloza usieciowiona, wyciąg z imbiru, substancja glazurująca: hydroksypropylometyloceluloza, glikol polietylenowy, poliwinylopirolidon, guma arabska, kwasy tłuszczowe, sukraloza, substancja przeciwzbrylająca: sole magnezowe kwasów tłuszczowych, dwutlenek krzemu, barwnik: dwutlenek tytanu.</div>
<div> </div>
<div>1 tabletka zawiera: wyciąg z korzenia imbiru 20mg.</div>
<div> </div>
<div><strong>Ważne wskazówki:</strong></div>
<div>Nie należy przekraczać zalecanej dziennej porcji.</div>
<div>Zrównoważony sposób żywienia i prawidłowy tryb życia jest ważny dla funkcjonowania organizmu człowieka.</div>
<div>Suplement diety nie może być stosowany jako substytut (zamiennik) zróżnicowanej diety.</div>
<div>Suplement diety powinien być przechowywany w sposób niedostępny dla małych dzieci.</div>
<div>Preparat należy przechowywać w temperaturze pokojowej (15-25 stopni Celsjusza), w suchym miejscu.</div>
<div>Zawiera cukier.</div>
<div> </div>
<div><strong>Podmiot odpowiedzialny: </strong></div>
<div>Zakłady Farmaceutyczne COLFARM S.A.</div>
<div>ul. Wojska Polskiego 3</div>
<div>39 - 300 Mielec</div>
			

		</div>","Lokomarin, 15 tabletek powlekanych",https://www.aptekagemini.pl/product/image/209893/1507100418apteka_internetowa_gemini_lokomarin_15_tabletek_powlekanych.jpg,"Lokomarin, 15 tabletek powlekanych"
1,"Fytofontana Aurecon Junior, spray do uszu dla dzieci, od 3 lat, 30ml",Zdrowie dzieci;higiena uszu,23.69,HERB-PHARMA,300,<span>Wyrób medyczny inny</span>,"<div class=""pw_description"" itemprop=""description"">
			<h2 class=""h2_title"">Fytofontana Aurecon Junior, spray do uszu dla dzieci, od 3 lat, 30ml - opis produktu</h2>

			
		<p>
			Nieodpowiednia higiena ucha zewnętrznego może doprowadzić do pogorszenia drożności kanałów słuchowych. Następstwem tego może być nie tylko pogorszenie słuchu, lecz także możliwość powstania warunków sprzyjających rozwojowi szkodliwych drobnoustrojów, które prowadzą do problemów zdrowotnych.<br>
			<br>
			Aurecon Junior spray do uszu jest naturalnym produktem, zawierającym ekstrakty roślinne, których działanie zostało sprawdzone przez wieki oraz pomaga w jej usuwaniu drogą naturalną. w bardzo delikatny sposób usuwa nadmierną woszczynę, kurz i inne nieczystości, a także chroni przed powstaniem korka woszczynowego.<br>
			<br>
			<b>Zastosowanie</b>: stosowanie preparatu zalecane jest w przypadkach: zmniejsza możliwość powstania zapalenia ucha środkowego i kataru; zastępuje stosowanie wacików do czyszczenia uszu; służy jako środek zapobiegający zapaleniu ucha na skutek zamoczenia woszczyny wodą w basenie; preparat jest przeznaczony dla dzieci w wieku od 3. roku życia, szczególnie dla tych, u których powstaje tzw. sucha woszczyna. Preparat przeznaczony jest do regularnej higieny.<br>
			<br>
			<b>Sposób użycia</b>: przez podniesienie usunąć przeźroczystą pokrywę. Otoczyć dyszę aplikatora z pozycji pionowej do poziomej. Wsunąć aplikator Auceron do ucha i wykonać 1-2 wstrzyknięci do każdego ucha, 1-2 razy dziennie, przy czym, wtryskiwacz należy przytrzymywać przy wejściu do ucha. Przechylić głowę na bok, dzięki czemu płyn wpłynie do ucha. W razie potrzeby zabieg powtórzyć. Po każdym użyciu nasadkę aplikatora należy wypłukać letnią wodą. Gdyby doszło do jakichkolwiek problemów z uchem, nie należy ich lekceważyć i trzeba bezzwłocznie udać się do lekarza.<br>
			<br>
			<strong>Składniki</strong>: woda, ekstrakt z rojnika murowego, ekstrakt ze ślazu maurytańskiego, ekstrakt z rumianku, polysorbate 20, ekstrakt z aloe vera, perfumy, methylchloroisothiazoline (and) methylisothiazolinone.<br>
			<br>
			Nie stosować w przypadku choroby narządu słuchu, perforacji błony bębenkowej lub gdy w uchu znajduje się ciało obce. Aplikatora nie wsuwać zbyt głęboko do ucha, by nie uszkodzić narządu słuchu lub nie powodować podrażnienia.</p>
		<div>
			<strong>Ważne wskazówki:</strong></div>
		<div>
			Krople Aurecon drops są przeznaczone do regularnych zabiegów higienicznych, nie do leczenia.</div>
		<div>
			Nie stosować w przypadku chorób uszu ani przy uszkodzeniach błony bębenkowej.</div>
		<div>
			Osoby starsze lub mające problemy z poruszaniem się powinny stosować preparat w obecności drugiej osoby.</div>
		<div>
			Przed użyciem wstrząsnąć.</div>
		<div>
			 </div>
		<div>
			<strong>Producent: </strong></div>
		<div>
			Herb-Pharma Sp. z o.o.</div>
		<div>
			ul. Bielska 47, </div>
		<div>
			43-430 Skoczów.</div>
		<div>
			 </div>
	
			

		</div>","Fytofontana Aurecon Junior, spray do uszu dla dzieci, od 3 lat, 30ml",https://www.aptekagemini.pl/product/image/95234/1506155693apteka_internetowa_gemini_fytofontana_aurecon_junior_spray_do_uszu_dla_dzieci_od_3_lat_30ml.jpg,"Fytofontana Aurecon Junior, spray do uszu dla dzieci, od 3 lat, 30ml"
